ID,gre,mesoregiao,tipoEscola,serie,sexo,idade,afTL,diasAFMV,afmvH,afmvMin,tvSemH,tvSemMin,tvFdsH,tvFdsMin,mediaTV_sem,media_sed_tv,pcSemH,pcSemMin,pcFdsH,pcFdsMin,mediaPC_sem,media_sed_pc,vgSemH,vgSemMin,vgFdsH,vgFdsMin,mediaVG_sem,media_sed_vg,sptSemH,sptSemMin,sptFdsH,sptFdsMin,mediaSPT_sem,media_sed_spt,massa,estatura
100,8,3,5,2,2,16,2,2,0,30,3,30,2,0,3.07,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,16,0,19,0,16.86,1,54.0,162.0
101,8,3,5,2,2,16,1,6,1,30,3,0,6,0,3.86,1,0,30,0,0,0.36,2,0,0,0,0,0.00,2,9,0,11,0,9.57,1,52.9,165.0
102,8,3,5,2,2,16,1,5,1,15,4,0,12,0,6.29,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,14,0,19,0,15.43,1,57.5,159.9
103,8,3,5,2,2,16,2,4,1,30,0,30,0,30,0.50,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,17,0,34,0,21.86,1,56.2,157.0
104,8,3,5,2,2,17,1,1,1,20,1,0,1,30,1.14,2,0,20,0,10,0.29,2,0,0,0,0,0.00,2,7,0,22,0,11.29,1,64.2,167.5
105,8,3,5,2,2,15,1,4,1,0,0,30,8,0,2.64,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,9,0,10,0,9.29,1,45.3,160.0
106,8,3,5,2,2,16,2,6,1,0,0,30,5,0,1.79,2,0,30,0,30,0.50,2,0,0,0,0,0.00,2,9,0,12,0,9.86,1,41.0,149.0
107,8,3,5,2,2,16,1,6,1,30,1,40,2,40,1.95,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,2,30,10,40,4.83,1,60.2,165.0
108,8,3,5,2,2,16,1,6,0,20,0,30,2,30,1.07,2,0,0,1,15,0.36,2,0,0,0,0,0.00,2,5,0,12,0,7.00,1,52.2,160.5
109,8,3,5,2,2,15,2,1,0,0,10,0,30,0,15.71,1,5,0,15,0,7.86,1,0,0,0,0,0.00,2,8,0,30,0,14.29,1,49.1,160.0
110,8,3,5,2,2,16,1,8,0,30,3,30,4,0,3.64,1,3,0,1,0,2.43,1,0,0,0,0,0.00,2,22,30,21,0,22.07,1,70.6,159.6
111,8,3,5,2,2,15,1,6,1,0,5,0,30,0,12.14,1,0,0,0,0,0.00,2,5,0,5,0,5.00,1,10,0,22,0,13.43,1,80.8,161.1
112,8,3,5,2,2,16,1,4,1,30,1,30,2,0,1.64,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,18,0,19,0,18.29,1,60.1,161.5
113,8,3,5,2,2,16,2,2,1,0,1,0,20,0,6.43,1,6,0,10,0,7.14,1,0,0,0,0,0.00,2,5,0,6,0,5.29,1,46.5,158.2
114,8,3,5,2,1,15,1,6,1,0,6,0,9,0,6.86,1,2,0,2,0,2.00,2,0,0,0,0,0.00,2,15,0,17,0,15.57,1,46.5,160.2
115,8,3,5,2,1,16,1,4,1,30,2,0,3,0,2.29,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,8,30,11,0,9.21,1,59.0,171.0
116,8,3,5,2,1,16,1,5,1,30,8,0,10,0,8.57,1,0,30,2,0,0.93,2,1,0,0,0,0.71,2,24,0,12,0,20.57,1,90.3,175.1
117,8,3,5,2,1,17,1,3,1,30,2,0,1,0,1.71,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,10,0,10,0,10.00,1,60.8,181.4
